"No.","Time","Source","Destination","Protocol","Length","Info"
"69","8.860180066","192.168.87.13","192.168.87.17","TCP","74","45032  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791287 TSecr=0 WS=128"
"70","8.864032598","192.168.87.13","192.168.87.17","TCP","74","45040  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791291 TSecr=0 WS=128"
"71","8.866310474","192.168.87.13","192.168.87.17","TCP","74","45048  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791293 TSecr=0 WS=128"
"72","8.870165995","192.168.87.13","192.168.87.17","TCP","74","45056  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791297 TSecr=0 WS=128"
"73","8.873917995","192.168.87.13","192.168.87.17","TCP","74","45072  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791300 TSecr=0 WS=128"
"74","8.876974376","192.168.87.13","192.168.87.17","TCP","74","45078  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791304 TSecr=0 WS=128"
"75","8.879964256","192.168.87.13","192.168.87.17","TCP","74","45092  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791307 TSecr=0 WS=128"
"76","8.882823134","192.168.87.13","192.168.87.17","TCP","74","45104  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791309 TSecr=0 WS=128"
"77","8.886349969","192.168.87.13","192.168.87.17","TCP","74","45110  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791313 TSecr=0 WS=128"
"78","8.890262021","192.168.87.13","192.168.87.17","TCP","74","45124  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791317 TSecr=0 WS=128"
"79","8.893821116","192.168.87.13","192.168.87.17","TCP","74","45126  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791320 TSecr=0 WS=128"
"80","8.896540357","192.168.87.13","192.168.87.17","TCP","74","45142  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791323 TSecr=0 WS=128"
"81","8.901288165","192.168.87.13","192.168.87.17","TCP","74","45152  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791327 TSecr=0 WS=128"
"82","8.916116397","192.168.87.13","192.168.87.17","TCP","74","45160  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791331 TSecr=0 WS=128"
"83","8.916116722","192.168.87.13","192.168.87.17","TCP","74","45164  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791335 TSecr=0 WS=128"
"84","8.916116749","192.168.87.13","192.168.87.17","TCP","74","45178  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791338 TSecr=0 WS=128"
"85","8.916116768","192.168.87.13","192.168.87.17","TCP","74","45192  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791341 TSecr=0 WS=128"
"86","8.918022647","192.168.87.13","192.168.87.17","TCP","74","45194  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791345 TSecr=0 WS=128"
"87","8.921487280","192.168.87.13","192.168.87.17","TCP","74","45200  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791348 TSecr=0 WS=128"
"88","8.925255816","192.168.87.13","192.168.87.17","TCP","74","45212  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791352 TSecr=0 WS=128"
"89","8.928241113","192.168.87.13","192.168.87.17","TCP","74","45216  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791355 TSecr=0 WS=128"
"90","8.932063409","192.168.87.13","192.168.87.17","TCP","74","45218  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3244791359 TSecr=0 WS=128"
